CNTRLNUM,OCCRDATE,OPCODE,TAILNUM,SERNUM,MAKE,GROUPS,PARTLOC,PARTCOND,PRECAUTION,NATURE,STAGEOP,REMARKS
94011100077,1/6/1994 0:00:00,SWAA,68SW,22357,BOEING,737,AC BAY,FAILED,UNSCHED LANDING,SMOKE,CLIMB,"FLIGHT 567, ON CLIMB-OUT, CREW EXPERIENCED SMOKE AND FUMES IN COCKPIT.  AIRCRAFT RETURNED TO HOU AND MADE AN UNEVENTFULLANDING.  REPLACED GASPER FAN AND PERFORMED PRESSURIZED RUN UP PER BOEING MM."
94011100078,1/7/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 380,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND INTERCOSTAL TO FRAME L-ANGLE CRACKED AT BS 380, STR 26R.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011100079,1/10/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 1008-1010,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND FLOOR BEAM CORROSION FROM BS 1008 TO 1010, LBL 8, 8.5, AND AT LBL 6, WL 208.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011100080,1/5/1994 0:00:00,SWAA,680AA,23505,BOEING,737,FWD ENTRY,INOP,NONE,NO TEST,INSP/MAINT,FOUND FORWARD EMERGENCY EXIT LIGHT INOP.  RELAMPED LIGHT PER BOEING MAINTENANCE MANUAL.
94011100081,1/1/1994 0:00:00,SWAA,675AA,23253,BOEING,737,CABIN,INOP,NONE,NO TEST,INSP/MAINT,FOUND ONE RED ESCAPE PATH LIGHT INOP AND ONE LIGHT MISSING AT OVERWING EXIT.  RELAMPED LIGHTS PER BOEING MAINTENANCE  MANUAL.
94011100082,1/4/1994 0:00:00,SWAA,722WN,22698,BOEING,737,CABIN,LOOSE,NONE,NO TEST,INSP/MAINT,FOUND SECTION OF ESCAPE PATH LIGHTING WIRE OUT OF TRACK AT RIGHT AFT CABIN AREA.  RESECURED TRACK LIGHTING.
94011100083,1/7/1994 0:00:00,SWAA,20SW,21337,BOEING,737,CABIN,DISCHARGED,NONE,NO TEST,INSP/MAINT,"DURING SCHEDULED A-CHECK, FOUND FORWARD CABIN EMERGENCY FLASHLIGHT INOP.  REPLACED FLASHLIGHT."
94011100084,1/7/1994 0:00:00,SWAA,27SW,21262,BOEING,737,CABIN,DISCHARGED,NONE,NO TEST,INSP/MAINT,"DURING SCHEDULED SERVICE CHECK, FOUND OVERWING EMERGENCY LIGHTS INOP.  REPLACED BATERY PACK PER BOEING MM."
94011100085,1/8/1994 0:00:00,SWAA,55SW,21593,BOEING,737,L1 DOOR,LOW PRESS,NONE,OTHER,INSP/MAINT,FOUND FORWARD ENTRY DOOR ESCAPE SLIDE PRESSURE LOW.  REPLACED SLIDE ASSEMBLY PER BOEING MM.
94011800149,1/10/1994 0:00:00,SWAA,62SW,22060,BOEING,737,CABIN,DISCHARGED,NONE,NO TEST,INSP/MAINT,"DURING SCHEDULED SERVICE CHECK, FOUND RIGHT OVERWING EMERGENCY EXIT LIGHT INOP.  REPLACED BATTERY PACK PER BOEING M/M."
94011800150,1/10/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 369,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND STRINGER 27R CORRODED AT BS 369.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800151,1/10/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 294,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND FLOORBEAM CORRODED AT BS 294.5, LBL 8 TO RBL 8, WL 208.  REPAIRED PER BOEING STRUCTURALREPAIR MANUAL."
94011800152,1/10/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 947,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND FLOORBEAM CORRODED AT BS 947, LBL 55 TO RBL 55, WL 208.  REPAIRED PER BOEING STRUCTURALREPAIR MANUAL."
94011800153,1/10/1994 0:00:00,SWAA,300SW,22940,BOEING,737,LT WING,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND SKATE ANGLE CRACKED AT BS 570 LOWER SURFACE OF CENTER SECTION LOWER SKIN.  REPAIRED PERBOEING STRUCTURAL REPAIR MANUAL."
94011800154,1/10/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 727A,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D CHECK, FOUND INTERCOSTAL TO FRAME L ANGLE CRACKED AT BS 727A, STRINGER 25L.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800155,1/11/1994 0:00:00,SWAA,302SW,22945,BOEING,737,CABIN,INOP,NONE,NO TEST,INSP/MAINT,"DURING SCHEDULED SERVICE CHECK, EXTERIOR EMERGENCY LIGHT AFT OF FORWARD GALLEY DOOR INOP.  REPLACED LIGHT ASSEMBLY  PERBOEING M/M."
94011800156,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 178,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D CHECK, FOUND BULKHEAD SKIN CRACKED AT BS 178, LBL 5.5.  REPAIRED PER SWA RA 1-253-1043."
94011800157,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FWD GALLEY DOOR,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND FORWARD GALLEY DOOR, FORWARD SIDE, UPPER CORNER CRACKED.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800158,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 328,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND FLOOR BEAM UPPER T CAP CORRODED AT BS 328, LBL34 TO RIGHT SIDE OF FUSELAGE.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800159,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 344,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND FLOOR BEAM CORROSION AT BS 344, RBL 22.  REPAIRED PER SWA RA 1-253-426."
94011800160,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 1088,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND STRINGER 19L CRACKED AT BS 1088.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800161,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS  711,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND ANGLE CRACKED AT BOTTOM OF KEEL BEAM WEB, BS 711, LBL 6.3, BELOW STANDBY HYD PUMP.REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800162,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 1106,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND STRINGER 7R CRACKED AT AFT FASTENER HOLE, BS 1106.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800163,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS  907,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND 3 INCH CRACK AT INBOARD J FLANGE OF BELTFRAMES AT BS 907 AND 867, BETWEEN STRINGERS22 AND 23R.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800164,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 430,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND FORWARD CARGO BIN FLOOR BEAMS CORRODED AT BS 430, LBL 13, 8.5, 2.5 AND BS 504, LBL 18, 13, 8.5, 2.5, AND  RBL 8.5.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800165,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 706,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND FLOOR BEAM CRACKED AT BS 706, LBL 24.5.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800166,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 1016,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND FLOOR BEAM CORRODED AT BS 1016, LBL 8.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800167,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 178,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND VERTICAL ATTACH ANGLE CRACK AT BS 178, LBL 6.  REPAIRED PER SWA RA 1-253-1038."
94011800168,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,AFT ENTRY DOOR,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND AFT ENTRY DOOR CUTOUT CRACKED AT UPPER AFT CORNER.  REPAIRED PER SWA ACO 6134-53."
94011800169,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,LT WING,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND UPPER WING L/E SKIN CRACKED AT NUMBER 3 SLAT ACTUATOR CUTOUT.  REPAIRED PER SWA RA 1-257-196."
94011800170,1/11/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 989-1013,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND SEAT TRACK CORROSION AT BS 989.5 TO 1013,  RBL 39, WL 208.  REPLACED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800171,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 328,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED 1/2 D-CHECK, FOUND FORWARD ENTRY DOOR CUTOUT, FORWARD 10 INCH AREA AT STR.7L, BS 294 WEB CRACKED AT AFT END OF RADIUS.  REPLACED WEB PER BOEING STRUCTURAL REPAIR MANUAL."
94011800172,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 685,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND STRINGER CLIP CRACKED AT BS 685 STR 8L.  REPLACED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800173,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS  986.5,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND FLOOR BEAM CORROSION AT BS 686.5, LBL 6 TO  RBL 49, WL 207.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800174,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS  993.5,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND HAT CHANNEL CORRODED AT BS 993.5, LBL 14-44, WL 208.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800175,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 663.75,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND FLOOR BEAM CRACKED AT AILERON BELLCRANK CUTOUT, BS 663.75.  REPAIRED PER SWA ACO 523-57."
94011800176,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 291-296,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND Z-ANGLE CRACKED AT BS 291 TO 296.5, STRINGER 17R.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800177,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,24R,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND STRINGER 24R CRACKED JUST AFT OF CARGO DOOR.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800178,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 360,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND STRINGER 10L, AT FORWARD ENTRY DOOR CUTOUT, BS 360, LOWER SIDE.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800179,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 967,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND BELT FRAME LEG CRACKED AT BS 967, ABOVE AFT ENTRY DOOR CUTOUT.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800180,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 989.5,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND BELT FRAME CRACKED AT BS 989.5, ABOVE AFT ENTRY DOOR CUTOUT.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800181,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 178,SHEARED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND SHEARED RIVETS IN INTERCOSTAL AT HORIZONTAL FLANGE, FWD BULKHEAD BS 178, WL 195.7,RBL 23.5 AND LBL 25.5.  REPAIRED PER SWA RA 1-253-1041."
94011800182,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 178,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND T-EXTRUSION CRACKED  ON INBD AND OUTBD FLANGES, FORWARD BULKHEAD, BS 178. LBL 6, WL 186.2.  REPAIRED PER SWA RA 1-253-1041."
94011800183,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 663.5,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND CRACK IN THE VERTICAL LEG OF UPPER FWD CHORD ANGLE OF PRESSURE DECK AT BS 663.5  AT BL 0 AT WL 208.5.  REPAIRED PER SWA RA 1-257-195."
94011800184,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 663.5,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND CRACK IN THE VERTICAL LEG OF UPPER FWD CHORD ANGLE OF PRESSURE DECK AT BS 663.5  AT RBL 24.75  AT WL 208.5.  REPAIRED PER SWA BOEING DRAWING 691A0032."
94011800185,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 663.5,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND CRACK IN THE VERTICAL LEG OF UPPER FWD CHORD ANGLE OF PRESSURE DECK AT BS 663.5  AT LBL 24.75 AT WL 208.5.  REPAIRED PER SWA BOEING DRAWING 691A0032."
94011800186,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 559,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND CRACK IN RADIUS AFT SIDE OF BELTFRAME, BS 559 AT RBL 73, BELOW CREASE BEAM STR.17R.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800187,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 579,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND CRACK IN RADIUS AFT SIDE OF AFT BELT FRAME OUTBD ATTACH ANGLE, RBL 73, BS 579  BELOW CREASE BEAM.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800188,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,22 R,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND STRINGER 22R CRACKED ON UPPER FLANGE AFT OF FWD CARGO DOOR FRAME.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800189,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FWD ENTRY DOOR,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND FORWARD ENTRY DOORWAY BEARSTRAP CRACK UNDER FWD UPPER STOP FITTING.  REPAIRED PER SWA RA 1-253-1039."
94011800190,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 907,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND SEAT TRACK SPLICE CORRODED AT BS 907, RBL 24.5.  REPAIRED PER SWA RA 1-253-1040."
94011800191,1/11/1994 0:00:00,SWAA,26SW,21117,BOEING,737,FS 670,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED HALF D-CHECK, FOUND CRACKS AT OVAL CUTOUTS AT BS 670 RBL 24 FLOOR BEAM.  REPAIRED PER SWA RA 1-257-197."
94011800192,1/12/1994 0:00:00,SWAA,64SW,22062,BOEING,737,FWD PAX DOOR,LOW PRESS,NONE,OTHER,INSP/MAINT,FOUND FORWARD ENTRY DOOR EMERGENCY ESCAPE SLIDE PRESSURE LOW.  REPLACED SLIDE ASSEMBLY.
94011800193,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 530,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND WEB CRACKED AT BS 530 BETWEEN STR 23 AND 24L.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800194,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 1013,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND AFT LAV FLOOR SUPPORT BRACKET CORRODED AT BS 1013, LBL 5, WL 208.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800195,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 178-188,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND WEBS AT BS 178-188 LEFT AND RIGHT SIDES CRACKED BS 178-188, WL 195, RBL 25.  REPLACED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800196,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 927,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND INTERCOSTAL L-ANGLE CRACKED AT BS 927 TO 947, BL 0.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800197,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 328,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND FLOOR BEAM CORROSION AT BS 328, RBL 56 TO 9, WL 208.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800198,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS  727,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND FRAME CRACKED AT BS 727, STR 9L, LBL 65, WL 270.  REPAIRED PER BOEING STRUCTURAL REPAIRMANUAL."
94011800199,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS  951,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND INTERCOSTAL CORROSION AT BS 951, RBL 33, WL 207.  REPAIRED PER BOEING STRUCTURAL REPAIRMANUAL."
94011800200,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 616,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND STRINGER CLIP CRACKED AT BS 616.  REPLACED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800201,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 559,GOUGED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND STRINGER GOUGED AT BS 559, S6L.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800202,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 727B,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND STRINGER CLIP AT 19R CRACKED AT BS 727B.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800203,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 354,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND STRINGER TIE CRACKED AT BS 354, S16R.  REPLACED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800204,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 940,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND AFT SERVICE DOOR MOP SILL CORRODED AT  BS 940-1000.  REPLACED PER BOEING STRUCTURAL REPAIR MANUAL."
94011800205,1/14/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 913-990,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND CREASE BEAM CORRODED AT BS 993, 980, AND 976, LBL 45, 46, AND LBL 47, WL 208.  REPLACEDPER BOEING STRUCTURAL REPAIR MANUAL."
94012400067,1/14/1994 0:00:00,SWAA,528SW,26570,BOEING,737,FWD CARGO,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED SERVICE CHECK,  FOUND FORWARD CARGO FLOOR BEAM WEB AT INBOARD EDGE OF THRESHOLD CRACKED IN THREE PLACES.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94012400068,1/15/1994 0:00:00,SWAA,26SW,21117,BOEING,737,AFT ENTRY,LOW PRESSURE,NONE,OTHER,INSP/MAINT,FOUND AFT ENTRY DOOR ESCAPE SLIDE PRESSURE LOW.  REPLACED SLIDE ASSEMBLY PER BOEING STRUCTURAL REPAIR MANUAL.
94012400069,1/15/1994 0:00:00,SWAA,71SW,22358,BOEING,737,FWD ENTRY,INOP,NONE,NO TEST,INSP/MAINT,FOUND FORWARD ENTRY DOOR EXTERIOR ESCAPE SLIDE EMERGENCY LIGHT INOP.  REPLACED EMERGENCY LIGHT RECEPTACLE PER BOEING M/M.
94012400070,1/18/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 1314,CORRODED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND FLOOR BEAMS CORRODED AT BS 1014, LBL 36, WL 208 AND AT BS 344, RBL 9 TO 30, WL 208.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94012400071,1/18/1994 0:00:00,SWAA,300SW,22940,BOEING,737,FS 530,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND CRACKED WEB AT BS 530, BETWEEN STRINGERS 23-24L.  REPAIRED PER BOEING STRUCTURAL REPAIRMANUAL."
94012400072,1/18/1994 0:00:00,SWAA,300SW,22940,BOEING,737,LT/RT WINGS,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND LEFT AND RIGHT WING L/E ILLUMINATION LIGHT SUPPORT STRINGERS CRACKED.  REPAIRED PER BOEING STRUCTURAL REPAIR MANUAL."
94012400073,1/18/1994 0:00:00,SWAA,300SW,22940,BOEING,737,STA 315,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND CRACK AT INBOARD LOWER CORNER OF NUMBER 2 ENGINE PYLON, AFT SUPPORT FRAME AT  STA 315, AFT OF PANEL 5843R.  REPLACED PER BOEING STRUCTURAL REPAIR MANUAL."
94012400074,1/18/1994 0:00:00,SWAA,300SW,22940,BOEING,737,WS 575,CRACKED,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED D-CHECK, FOUND LEFT AILERON O/B CENTER HINGE TO UPPER SKIN ANGLE CRACKED.  REPLACED PER BOEING STRUCTURAL REPAIR MANUAL."
94012400075,1/17/1994 0:00:00,SWAA,74SW,22674,BOEING,737,LT ENTRY DOOR,LOW PRESS,NONE,OTHER,INSP/MAINT,"DURING SCHEDULED A CHECK, FOUND FORWARD ENTRY DOOR SLIDE PRESSURE BELOW SERVICEABLE LIMITS.  REPLACED PER BOEING STRUCTURAL REPAIR MANUAL."
